code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30
3697,3697.T,ＳＨＩＦＴ,2025-01,CONTINUE,5,29.09,100.0,False,False,70.91,2024-09,910.67,1292.0,1292.0,41.87,,,,,,,,,,,
9001,9001.T,東武鉄道,2025-01,CONTINUE,3,24.5,83.4,True,True,58.9,2024-11,2570.0,2677.0,2677.0,4.16,,,,,,,,,,,
6560,6560.T,エル・ティー・エス,2025-01,CONTINUE,3,31.39,89.84,False,True,58.45,2024-11,2354.0,2666.0,2666.0,13.25,,,,,,,,,,,
9044,9044.T,ＮＡＮＫＡＩ,2025-01,NEW,1,42.72,100.0,True,True,57.28,2025-01,2573.0,2573.0,2573.0,0.0,2455.96,2413.81,2517.58,True,True,True,False,True,True,False,196067.0
4331,4331.T,テイクアンドギヴ・ニーズ,2025-01,NEW,1,36.76,92.75,False,True,55.99,2025-01,956.0,956.0,956.0,0.0,927.64,895.6,920.66,True,True,True,False,True,True,False,78603.0
9064,9064.T,ヤマトホールディングス,2025-01,CONTINUE,4,21.98,77.19,False,True,55.21,2024-10,1620.5,1862.5,1862.5,14.93,,,,,,,,,,,
7989,7989.T,立川ブラインド工業,2025-01,NEW,1,44.99,100.0,False,True,55.01,2025-01,1421.0,1421.0,1421.0,0.0,1404.48,1360.99,1349.9,True,True,True,True,True,True,False,51387.0
6996,6996.T,ニチコン,2025-01,CONTINUE,2,31.59,83.91,False,True,52.32,2024-12,1097.0,1098.0,1098.0,0.09,,,,,,,,,,,
2222,2222.T,寿スピリッツ,2025-01,CONTINUE,5,47.83,100.0,False,True,52.17,2024-09,1820.5,2274.0,2274.0,24.91,,,,,,,,,,,
3252,3252.T,地主,2025-01,NEW,1,48.23,100.0,False,True,51.77,2025-01,2229.0,2229.0,2229.0,0.0,2167.8,2138.28,2246.49,True,True,False,False,True,True,False,115297.0
9551,9551.T,メタウォーター,2025-01,NEW,1,40.04,90.74,False,True,50.7,2025-01,1849.0,1849.0,1849.0,0.0,1803.12,1794.73,1862.61,True,True,False,False,True,True,False,93893.0
8141,8141.T,新光商事,2025-01,CONTINUE,4,35.67,84.4,False,False,48.73,2024-10,967.0,1016.0,1016.0,5.07,,,,,,,,,,,
8771,8771.T,イー・ギャランティ,2025-01,CONTINUE,4,43.33,91.29,False,True,47.96,2024-10,1521.0,1746.0,1746.0,14.79,,,,,,,,,,,
6498,6498.T,キッツ,2025-01,NEW,1,52.17,100.0,False,True,47.83,2025-01,1175.0,1175.0,1175.0,0.0,1134.16,1105.05,1118.67,True,True,True,False,True,True,False,249507.0
4763,4763.T,クリーク・アンド・リバー社,2025-01,CONTINUE,2,36.28,83.33,False,True,47.05,2024-12,1594.0,1668.0,1668.0,4.64,,,,,,,,,,,
5110,5110.T,住友ゴム工業,2025-01,CONTINUE,3,54.05,100.0,False,True,45.95,2024-11,1648.0,1816.0,1816.0,10.19,,,,,,,,,,,
9616,9616.T,共立メンテナンス,2025-01,NEW,1,54.42,100.0,True,True,45.58,2025-01,3082.0,3082.0,3082.0,0.0,2913.76,2705.96,2784.82,True,True,True,False,True,True,False,514213.0
4433,4433.T,ﾋﾄ･ｺﾐｭﾆｹｰｼｮﾝｽﾞ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ,2025-01,NEW,1,21.66,66.67,False,True,45.01,2025-01,918.0,918.0,918.0,0.0,872.84,842.13,900.17,True,True,True,False,True,True,False,50137.0
2681,2681.T,ゲオホールディングス,2025-01,CONTINUE,2,35.66,79.45,True,True,43.79,2024-12,1652.0,1829.0,1829.0,10.71,,,,,,,,,,,
8227,8227.T,しまむら,2025-01,CONTINUE,4,56.6,100.0,False,False,43.4,2024-10,7885.0,8847.0,8847.0,12.2,,,,,,,,,,,
5757,5757.T,ＣＫサンエツ,2025-01,NEW,1,58.33,100.0,False,True,41.67,2025-01,3955.0,3955.0,3955.0,0.0,3863.4,3745.33,3682.27,True,True,True,True,True,True,False,3620.0
8803,8803.T,平和不動産,2025-01,NEW,1,58.94,100.0,False,True,41.06,2025-01,2262.5,2262.5,2262.5,0.0,2225.8,2134.73,2043.46,True,True,True,True,True,True,True,156193.0
2395,2395.T,新日本科学,2025-01,CONTINUE,4,51.95,92.56,True,True,40.61,2024-10,1242.0,1700.0,1700.0,36.88,,,,,,,,,,,
5981,5981.T,東京製綱,2025-01,CONTINUE,2,45.93,86.38,False,True,40.45,2024-12,1306.0,1300.0,1300.0,-0.46,,,,,,,,,,,
